Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
total,4815564,730399,6556629,2952109,37960782,5193721,3594395,915188,634725,19326230,9901496,1394905,1595441,12884119,6537640,3076097,2885361,4386381,4600814,1327691,5887072,6663158,9896930,5376550,2983767,6024081,1003754,1853323,2744566,1323962,8845483,2087549,19574549,9749123,701116,11548369,3818600,3899118,12766827,1054601,4717112,833496,6451281,26089620,2853467,626063,8185229,6892876,1856764,5719855,576270
0,58523,11093,85537,38338,496876,64720,36883,11050,9369,213736,131233,18877,22272,159700,82688,38294,39342,54984,61646,12747,72602,72518,112769,68103,38937,75031,12075,25663,34548,12458,104549,26886,241149,119091,9790,136704,51982,44954,141486,11032,57028,11949,79852,376914,50303,6091,102317,86726,20522,67241,7392
1,59242,11426,86582,38389,509172,66840,38318,11331,8873,214658,132305,18982,22830,161614,83308,37972,40437,55247,61651,12700,73482,73846,114648,68903,39135,75507,12054,25843,35596,13184,106985,27704,241705,120650,9415,137703,52565,45936,143394,11123,57199,11771,79019,385164,51242,6045,102296,87688,20564,67772,7535
2,59418,10992,86600,38640,496965,68280,38852,11106,7276,211349,133396,18004,23434,163064,84513,39791,41077,55139,61177,13371,73555,72806,116148,70115,39576,75657,12212,26112,36049,13378,106339,28304,233099,123054,9406,139312,52712,47078,144014,11071,59008,11903,79326,387973,51903,6145,101852,89555,20364,70520,7934
3,59895,10702,88492,38890,495958,68370,39163,11085,6701,212139,134161,17587,23717,161920,85289,40084,40789,55494,62012,13535,72496,72410,116354,69945,40991,76234,12422,26369,36178,13497,105866,28661,226133,124801,9391,141167,53214,47062,144013,11059,59878,11863,80612,388438,51965,6194,100597,88872,20471,70458,7938
4,62155,10901,92274,40180,515743,70268,41052,11296,6578,220697,140057,17847,24601,167572,87948,41326,41632,57144,64374,14017,74741,74671,120008,72530,42852,78663,12704,26884,37845,14055,109579,29489,231205,128495,9384,144777,54150,48486,148191,11519,61521,12265,83968,398605,52971,6519,104508,91012,21395,72659,8177
5,62100,10702,93124,40757,517014,71132,42037,11270,6347,222719,141045,17523,24551,168662,88812,41407,41457,57621,64230,14379,74865,75388,121896,73036,43690,78720,12948,26660,37857,14507,110767,29525,230824,129182,9353,146708,54446,48561,148922,11568,62298,12266,83935,398316,52690,6684,104807,90408,21334,73651,8348
6,61043,10479,91581,40125,510825,70794,42849,11461,5850,221273,140472,16993,24511,168593,88228,41109,41147,56978,62566,14521,73802,75376,122573,71964,41937,78720,12521,26511,36981,14715,110599,29151,228831,128524,9175,146758,53321,48064,149060,11850,60695,11933,83353,395786,51769,6665,103808,88362,21094,73330,8007
7,60725,10278,90847,39757,507053,70961,43643,11273,5560,219597,139455,16996,24538,169214,88129,40588,40670,56648,61686,14710,73708,75993,123704,72155,41346,78037,12376,26440,36434,15044,111566,29015,229886,127527,8811,146355,53020,47520,149405,11970,59735,11755,82609,395608,51608,6762,103565,87816,21076,73191,7814
8,60912,10297,90777,39590,503468,71327,44473,11367,5316,217875,139282,16992,24521,171089,89232,40494,40713,56914,61308,14768,73990,77593,126111,72622,40905,77915,12269,26309,36344,15337,113184,28616,231826,127808,8622,148122,52768,47769,151006,12092,59401,11549,82818,394402,51021,6938,104267,87277,21214,74093,7663
9,60896,10151,89540,39202,499568,70777,44543,11327,5011,215724,138326,16902,24086,169908,88312,40231,40480,56237,60576,14627,73244,77962,125574,71069,40325,77410,12172,25862,36097,15669,112648,28516,231665,127169,8258,147553,51954,47350,150877,12156,58812,11098,82416,391938,50412,7034,102846,86172,21280,73215,7557
10,61216,10023,89041,39058,493342,69180,45014,11104,5046,218856,138933,16139,23840,169608,88014,39789,39653,55770,60532,14708,73243,77850,126729,69724,40123,76690,12185,25535,35785,15773,112340,28356,230911,127384,8078,148702,51925,46993,150272,12073,59198,10782,82655,387939,48843,6912,102435,85448,21261,73181,7278
11,64601,10103,91515,39963,506996,70099,46047,11422,5118,226177,142158,16596,24281,173209,90826,40391,40500,57384,62265,15158,75846,79482,131685,71111,41956,79034,12353,25450,36675,16027,114943,28780,235775,131785,8073,153335,51957,48162,154875,12231,60872,10839,84564,394001,48647,7066,104365,87736,21542,74530,7251
12,65503,10481,92354,40538,514730,70013,47611,11690,5038,231399,144197,16543,24294,175520,92383,41030,40848,58258,63662,15494,76887,81104,133819,71686,42932,80378,12234,25438,36936,16428,117246,28925,240871,132335,8079,155962,52603,49062,158376,12402,62263,11105,86278,396160,48788,7367,105436,89181,22198,76172,7483
13,64139,10236,90072,39627,508081,67698,47965,11384,4918,229082,139390,16309,23795,172932,90653,40216,40055,57419,62071,15700,75867,80966,133137,70320,41573,78923,12287,24737,36411,16462,116101,28583,237992,128735,8121,153575,51853,48446,156607,12628,60213,10906,85083,385120,46950,7466,103431,88092,21731,74916,7251
14,64325,9929,89523,39715,513944,66599,47856,11437,4914,229801,138140,16235,23317,173540,89957,40509,39538,56907,61396,15782,75790,81636,134242,70244,41392,79297,12338,24511,35976,16798,116885,28060,240529,127586,8302,154336,51691,48326,157727,12712,59605,10688,83903,380597,45959,7542,102860,88155,21724,74899,7242
15,63725,10154,89247,39661,522791,66213,49062,11353,5041,231517,136899,16074,23063,174730,89492,40293,39079,56340,60694,15942,76273,82621,135188,70613,41020,78769,12383,24481,36190,17193,117971,27831,243797,124828,8226,153469,50229,48792,159607,12977,59214,10873,82982,378422,45257,7648,102824,88043,21987,74940,7283
16,63467,10127,89287,39282,533203,65968,48987,11351,5074,232862,135908,16269,23188,176884,90308,40390,39158,56428,60355,16198,77190,84255,136931,70870,40998,79282,12594,24527,36525,17692,118920,27988,250032,124475,8373,155284,49737,48965,163475,13271,59051,10940,83268,376933,44126,7619,103302,88013,22039,75235,7079
17,64813,10283,90440,39469,547690,66854,50097,11867,5590,238375,138444,16528,23005,181825,91744,40916,39823,57641,61728,16750,79581,87027,141401,72490,42131,80566,12752,25139,36881,18132,121986,29057,258763,126536,8455,158860,50697,49668,168844,13808,60244,11014,85115,378959,44134,8229,106363,89980,22676,76737,7150
18,65266,9670,91518,39122,556534,69130,54115,13392,9609,236474,141519,16289,22485,179562,89597,43153,39654,57352,61236,17835,82943,101187,145403,73020,42779,80263,12923,25688,34222,19439,117940,29178,276364,134359,9647,158590,51061,49833,182658,17498,64820,11247,84874,375073,42654,10185,112751,88596,23186,79205,7356
19,66574,9298,91628,40201,537813,71849,54835,13463,13079,236042,145667,16263,21929,178305,98722,49099,43240,58355,61617,17980,80725,109573,142718,75525,45019,84918,14128,28303,31087,20478,110916,29814,276358,140424,12569,162885,53923,49523,192476,19281,69893,13155,85507,377338,42152,11785,116915,87553,23925,84736,8011
20,70061,11186,95334,42510,561854,71769,52758,12938,11860,251351,146931,18546,21593,182901,104430,50023,46640,62172,66594,17094,79630,103972,149452,75532,45490,89437,14724,29304,33510,20264,112420,31241,281197,142687,12921,163880,57663,51867,185585,18099,71035,12977,90153,387849,45148,11138,118219,93252,25371,85602,8401
21,73737,11918,99526,44161,591742,72329,49014,12848,10210,267829,148232,20699,22236,182195,101983,48544,44840,65146,72413,16303,80258,97835,156704,72031,47032,90044,14663,27508,36388,19208,112900,31627,290173,143733,13255,162470,59064,54655,181934,17757,73103,12264,93785,389747,49502,9950,120608,97930,26810,82147,8791
22,74235,12093,99753,44240,600222,74270,45173,13431,9776,272741,147912,21015,23716,181442,96983,46801,42991,65027,73225,16169,80764,95570,153002,72152,47111,87679,14803,25920,38943,17196,113024,30882,291172,143120,14066,162832,58906,55338,180854,16778,72851,11694,93793,391448,50116,8632,119473,100560,26500,80151,9018
23,69971,11800,94912,41176,583198,72092,42108,13713,11810,264202,141817,20296,22630,175948,89367,41268,41091,61536,71496,15594,79163,91264,137611,68888,44257,83158,14064,24507,38363,15662,108469,29456,284429,137150,12768,156233,56473,53193,174229,15962,68901,11543,90595,381920,50825,7562,114336,98767,24287,75291,8364
24,65616,11784,90538,39466,572623,72514,43495,12916,14706,256322,137574,20362,21588,175832,85428,38039,38556,57843,68663,15256,81137,94702,126323,68979,40436,79465,13137,24421,38363,15293,108683,28559,290273,131630,11124,149971,53618,51106,170829,15575,64908,11308,86933,379178,46820,7304,114562,96757,22359,71377,7811
25,62962,11654,87532,38317,559530,75348,43813,12022,15640,249739,134855,20517,21132,176341,82339,37157,38036,55732,67265,14893,82067,96494,117959,70488,38764,79071,12440,24561,38396,15233,109844,28174,289166,128070,10751,145209,51773,50893,166308,14417,62032,11155,84173,377578,42684,7221,115524,96114,21579,70667,7924
26,62349,12081,88421,37963,561068,77477,44582,11945,15846,248796,135407,20400,21041,179751,82962,38413,39013,55443,67330,15003,82231,96215,117942,72847,38683,80682,12366,25049,38899,15429,111382,28254,289944,127735,10675,145133,52391,52017,165210,13729,61300,11177,84159,381681,42217,7076,116466,97669,21112,72395,8295
27,62652,11962,89417,38369,567059,78252,44209,12008,15939,248870,137052,20402,21168,183295,84093,39701,39699,56059,68506,15121,82608,95497,118654,75295,39636,81266,12756,25931,39876,15309,112594,28609,292274,127646,10452,145873,54094,53554,163801,13674,60930,11435,84919,385627,43523,7066,116759,99575,21253,74725,8391
28,60643,11556,86856,38050,549763,76798,42996,11440,15425,241365,132846,20080,20756,178460,81350,38656,38872,55279,66606,14430,79879,90791,114316,73810,38104,78525,12673,25323,38812,14473,109538,27996,277501,123147,10203,139788,53046,52651,157066,13147,59891,11151,82499,376076,43195,6983,113147,97654,20723,72313,8279
29,61238,11660,89385,38750,557587,78107,43422,11662,15285,243098,135769,19978,21137,181586,83909,39310,39444,56927,66783,14670,80902,90329,117237,75527,39256,80892,12935,25992,39844,14873,111706,28345,278722,126712,10419,142411,54100,54190,159027,13265,60484,11286,84258,384146,44947,7130,115351,99014,22089,74146,8373
30,61933,11310,89299,38718,558664,78190,43633,11653,14649,242082,136667,20101,21331,181575,84226,39935,39250,57335,66262,14816,80597,89684,118258,76185,39414,80411,13008,26071,39985,14788,113134,28334,276332,126740,10070,143703,53727,55056,158260,13226,60684,11255,84996,384596,45416,7165,115341,100212,22076,74658,8259
31,62084,10784,88474,38967,547481,77158,42800,11616,13990,237364,137041,19418,21314,180256,85024,39473,38996,57952,65611,14717,79873,86944,118566,75755,39886,80288,12685,25779,39451,14965,112876,27831,269916,126517,9578,144611,52626,54749,156385,13151,60629,11203,84645,381685,45653,7191,113974,98887,22377,74269,8100
32,63665,10856,90921,39892,558921,78462,44117,11894,13623,243378,141425,19753,21568,185053,87151,40918,39371,59457,65671,15138,81553,87552,121318,76129,40517,81167,12929,25734,40659,15215,117546,27978,277855,130180,9588,147757,53688,56143,158135,13330,61220,11255,86864,387342,46496,7434,116344,100089,23838,76122,8284
33,59809,9792,84202,37151,518665,73480,42016,11210,12121,228906,133988,18332,20946,173268,82338,38301,36792,56548,60781,14535,76633,83281,115931,71442,38062,75775,12135,23721,38058,14610,112170,25982,257949,124520,8850,140140,49249,52764,149439,12389,58572,10370,82776,362341,44291,6909,108736,93853,22570,71361,7674
34,59188,9552,82231,36748,508709,72105,41422,10846,11182,226988,131821,17708,20468,169781,81211,37188,35658,55933,58903,14509,74618,81302,114080,68633,37089,73680,11993,23220,37459,14453,111484,25076,251311,124640,8536,136712,47603,52268,146486,12217,57485,9837,81346,356204,43720,6874,107101,91807,22553,69400,7284
35,59064,9380,82462,35957,507239,71017,41486,10456,10311,226514,131171,17617,20368,168229,80420,36179,35286,55632,57557,14275,73876,79490,112910,66665,36927,72651,11708,22794,37156,14124,111467,24872,247949,124563,8253,134814,47223,51765,144268,11931,57295,9767,81020,354519,42577,6699,105468,90777,22385,68258,7076
36,56865,8894,80150,35014,497858,68601,40481,10069,9203,221907,128104,17031,19454,162869,77919,34455,33985,53682,54847,14101,71538,77937,110106,63896,35573,69430,11065,21845,35977,14108,109907,24280,239949,120642,7719,131087,45374,50234,139904,11479,54276,9487,77685,348528,39847,6547,101993,87815,21638,65743,6826
